,title,fact,opinion,inhibition,fff,activation,moral,cut,length
0,为什么世界各国都希望中国举办奥运会？,0,2,0,0,1,4,"['为什么', '世界', '各国', '都', '希望', '中国', '举办', '奥运会', '？']",9
1,中国好人｜唐唯淞：用信念践行责任 携乐观书写人生,1,2,0,0,3,5,"['中国', '好人', '｜', '唐唯淞', '：', '用', '信念', '践行', '责任', ' ', '携', '乐观', '书写', '人生']",14
2,"中国理想版图,到时候定都西安",2,2,0,0,3,3,"['中国', '理想', '版图', ',', '到时候', '定都', '西安']",7
3,中国梦想秀：爷爷给邓丽君写歌，却不认识，真相感动全场,1,2,0,0,3,2,"['中国', '梦想', '秀', '：', '爷爷', '给', '邓丽君', '写歌', '，', '却', '不', '认识', '，', '真相', '感动', '全场']",16
4,听见·70年里的“今天”：《中国实施千年发展目标报告》发布。,1,1,0,0,3,3,"['听见', '·', '70', '年里', '的', '“', '今天', '”', '：', '《', '中国', '实施', '千年', '发展', '目标', '报告', '》', '发布', '。']",19
5,中国海军公开震撼一幕，两枚新型导弹破水而出，命中目标掀起巨浪,1,2,0,0,1,3,"['中国', '海军', '公开', '震撼', '一幕', '，', '两枚', '新型', '导弹', '破水', '而', '出', '，', '命中', '目标', '掀起', '巨浪']",17
6,"中国球员周琦已与一名欧洲经纪人达成合作,目标是前往欧洲...",1,2,0,0,1,4,"['中国', '球员', '周琦已', '与', '一名', '欧洲', '经纪人', '达成', '合作', ',', '目标', '是', '前往', '欧洲', '...']",15
7,"中国一所傲娇大学,拒绝诺贝尔获奖者,真正为梦想而生的大学",1,2,0,0,3,4,"['中国', '一所', '傲娇', '大学', ',', '拒绝', '诺贝尔', '获奖者', ',', '真正', '为', '梦想', '而生', '的', '大学']",15
8,"中国最骄傲的三条路:修建过程艰苦无比,网友:希望能写进教材书",1,2,0,0,1,4,"['中国', '最', '骄傲', '的', '三条', '路', ':', '修建', '过程', '艰苦', '无比', ',', '网友', ':', '希望', '能', '写', '进', '教材', '书']",20
9,自制飞行器飞跃英吉利海峡！法国发明家梦想实现 中国在明代就有,1,2,0,0,1,4,"['自制', '飞行器', '飞跃', '英吉利海峡', '！', '法国', '发明家', '梦想', '实现', ' ', '中国', '在', '明代', '就', '有']",15
10,中国人寿梦想合伙人?什么鬼?,0,2,0,2,0,2,"['中国', '人寿', '梦想', '合伙人', '?', '什么', '鬼', '?']",8
11,"中国现在接力成绩不理想已经不是运动员帮次水平问题,而是...",1,2,0,1,0,3,"['中国', '现在', '接力', '成绩', '不', '理想', '已经', '不是', '运动员', '帮次', '水平', '问题', ',', '而是', '...']",15
12,"中国正式叫停“洋垃圾”,美国欲出300亿,希望重新进口",1,2,0,2,0,2,"['中国', '正式', '叫停', '“', '洋垃圾', '”', ',', '美国', '欲出', '300', '亿', ',', '希望', '重新', '进口']",15
13,《流浪地球》中最震撼的长镜头!!!中国科幻有希望了!,1,2,0,0,3,4,"['《', '流浪', '地球', '》', '中', '最', '震撼', '的', '长镜头', '!', '!', '!', '中国', '科幻', '有', '希望', '了', '!']",18
14,5G承载了中国高技术发展的希望#家国档案70年 #107头条 #中国,0,2,0,0,1,3,"['5G', '承载', '了', '中国', '高技术', '发展', '的', '希望', '#', '家国', '档案', '70', '年', ' ', '#', '107', '头条', ' ', '#', '中国']",20
15,"德国农村,为何被称为中国乡村发展目标?看完德国农村现状就懂了",0,2,0,0,3,4,"['德国', '农村', ',', '为何', '被', '称为', '中国', '乡村', '发展', '目标', '?', '看', '完', '德国', '农村', '现状', '就', '懂', '了']",19
16,"世界杯,中国的卫冕之路,夺冠希望很大!!",1,2,0,0,1,4,"['世界杯', ',', '中国', '的', '卫冕', '之', '路', ',', '夺冠', '希望', '很大', '!', '!']",13
17,"卧槽,今天国服遇到狙神了,中国cncs的希望啊,25个人头,",1,2,0,0,3,4,"['卧槽', ',', '今天', '国服', '遇到', '狙神', '了', ',', '中国', 'cncs', '的', '希望', '啊', ',', '25', '个人', '头', ',']",18
18,"中国队有希望了,刷出个牛逼的前锋,隐藏属性爆炸!",1,2,0,0,3,4,"['中国队', '有', '希望', '了', ',', '刷', '出个', '牛', '逼', '的', '前锋', ',', '隐藏', '属性', '爆炸', '!']",16
19,中国梦想秀：波波老师问小男孩，什么是爱心，下一秒掌声雷动,1,1,0,0,3,5,"['中国', '梦想', '秀', '：', '波波', '老师', '问', '小男孩', '，', '什么', '是', '爱心', '，', '下', '一秒', '掌声雷动']",16
