title,fact,opinion,inhibition,fff,activation,moral
为什么世界各国都希望中国举办奥运会？,0,2,0,0,1,4
中国好人｜唐唯淞：用信念践行责任 携乐观书写人生,1,2,0,0,3,5
"中国理想版图,到时候定都西安",2,2,0,0,3,3
中国梦想秀：爷爷给邓丽君写歌，却不认识，真相感动全场,1,2,0,0,3,2
听见·70年里的“今天”：《中国实施千年发展目标报告》发布。,1,1,0,0,3,3
中国海军公开震撼一幕，两枚新型导弹破水而出，命中目标掀起巨浪,1,2,0,0,1,3
"中国球员周琦已与一名欧洲经纪人达成合作,目标是前往欧洲...",1,2,0,0,1,4
"中国一所傲娇大学,拒绝诺贝尔获奖者,真正为梦想而生的大学",1,2,0,0,3,4
"中国最骄傲的三条路:修建过程艰苦无比,网友:希望能写进教材书",1,2,0,0,1,4
自制飞行器飞跃英吉利海峡！法国发明家梦想实现 中国在明代就有,1,2,0,0,1,4
中国人寿梦想合伙人?什么鬼?,0,2,0,2,0,2
"中国现在接力成绩不理想已经不是运动员帮次水平问题,而是...",1,2,0,1,0,3
"中国正式叫停“洋垃圾”,美国欲出300亿,希望重新进口",1,2,0,2,0,2
《流浪地球》中最震撼的长镜头!!!中国科幻有希望了!,1,2,0,0,3,4
5G承载了中国高技术发展的希望#家国档案70年 #107头条 #中国,0,2,0,0,1,3
"德国农村,为何被称为中国乡村发展目标?看完德国农村现状就懂了",0,2,0,0,3,4
"世界杯,中国的卫冕之路,夺冠希望很大!!",1,2,0,0,1,4
"卧槽,今天国服遇到狙神了,中国cncs的希望啊,25个人头,",1,2,0,0,3,4
"中国队有希望了,刷出个牛逼的前锋,隐藏属性爆炸!",1,2,0,0,3,4
中国梦想秀：波波老师问小男孩，什么是爱心，下一秒掌声雷动,1,1,0,0,3,5
中国梦想秀：女孩年龄虽小，说话却很有道理，周立波：你很强大！,1,2,0,0,3,4
"中国梦想秀:女子演唱《一生有你》,送给爸爸,观众泪流满面",1,1,0,0,3,1
"中国梦想秀:她一首《领悟》,唱出了我心中多年的痛,落泪了",1,2,0,0,3,1
中国名酒：国窖1573涨价150元 股价提升10元 目标100元,1,2,0,0,1,0
"中国男篮擎天柱易建联现身机场,真是太高了,希望继续加油!",1,2,0,0,3,4
"中国男篮首战集锦,希望中国队继续加油,一往无前,永不退缩!",1,2,0,0,3,4
中国男篮有了新希望，17岁的他成为重点培育对象,1,2,0,0,3,4
中国男子边做家务边跳舞 油管网友:我希望他成为我的丈夫,1,2,0,0,2,2
中国—南亚经济和社会发展地方合作愿景（全文）,1,2,0,0,3,2
中国年轻人理想城市排行榜,0,2,0,0,3,4
"中国农村养牛建设牛舍以简单实用为主,节省资金多养牛才最理想",1,2,0,0,1,0
"中国女排传奇“父女档”,2人各自迎“新身份”,唯一的目标未变",1,1,0,0,3,5
